,site_a,site_b,site_b
1/1/1990 0:00,0,0,0
1/1/1990 1:00,0,0,0
1/1/1990 2:00,0,0,0
1/1/1990 3:00,0,0,0
1/1/1990 4:00,0,0,0
1/1/1990 5:00,0,0,0
1/1/1990 6:00,0,0,0
1/1/1990 7:00,46.824,119.23,110.57
1/1/1990 8:00,121.5,317.02,303.53
1/1/1990 9:00,265.21,526.54,508.95
1/1/1990 10:00,254.77,704.63,684.73
1/1/1990 11:00,281.24,779.82,761.17
1/1/1990 12:00,276.74,739.09,724.01
1/1/1990 13:00,225.18,677.99,665.18
1/1/1990 14:00,146.01,556.35,546.49
1/1/1990 15:00,47.301,403.23,395.79
1/1/1990 16:00,23.103,207.63,203.86
1/1/1990 17:00,18.144,18.501,18.493
1/1/1990 18:00,0,0,0
1/1/1990 19:00,0,0,0
1/1/1990 20:00,0,0,0
1/1/1990 21:00,0,0,0
1/1/1990 22:00,0,0,0
1/1/1990 23:00,0,0,0
2/1/1990 0:00,0,0,0
2/1/1990 1:00,0,0,0
2/1/1990 2:00,0,0,0
2/1/1990 3:00,0,0,0
2/1/1990 4:00,0,0,0
2/1/1990 5:00,0,0,0
2/1/1990 6:00,0,0,0
2/1/1990 7:00,122.32,86.036,83.234
2/1/1990 8:00,354.75,269.37,262.6
2/1/1990 9:00,366.64,427.89,417.44
2/1/1990 10:00,435.04,504.93,496.69
2/1/1990 11:00,462.94,626.09,614.72
2/1/1990 12:00,294.97,574.57,566.81
2/1/1990 13:00,395.25,362.09,359.97
2/1/1990 14:00,379.79,307.03,306.27
2/1/1990 15:00,326.94,319.61,316.23
2/1/1990 16:00,251.54,170.79,168.78
2/1/1990 17:00,84.585,0,0
2/1/1990 18:00,0,0,0
2/1/1990 19:00,0,0,0
2/1/1990 20:00,0,0,0
2/1/1990 21:00,0,0,0
2/1/1990 22:00,0,0,0
2/1/1990 23:00,0,0,0
3/1/1990 0:00,0,0,0
3/1/1990 1:00,0,0,0
3/1/1990 2:00,0,0,0
3/1/1990 3:00,0,0,0
3/1/1990 4:00,0,0,0
3/1/1990 5:00,0,0,0
3/1/1990 6:00,0,0,0
3/1/1990 7:00,126.31,134.96,123.2
3/1/1990 8:00,357.13,351.45,334.1
3/1/1990 9:00,577.64,562.78,542.54
3/1/1990 10:00,750.88,720.2,699.43
3/1/1990 11:00,855.87,812.96,792.87
3/1/1990 12:00,878.91,839.23,820.32
3/1/1990 13:00,830.6,792.67,775.72
3/1/1990 14:00,707.81,676.69,662.24
3/1/1990 15:00,523.55,500.26,488.77
3/1/1990 16:00,296.49,284.08,277.57
3/1/1990 17:00,85.501,28.259,28.321
3/1/1990 18:00,0,0,0
3/1/1990 19:00,0,0,0
3/1/1990 20:00,0,0,0
3/1/1990 21:00,0,0,0
3/1/1990 22:00,0,0,0
3/1/1990 23:00,0,0,0
4/1/1990 0:00,0,0,0
4/1/1990 1:00,0,0,0
4/1/1990 2:00,0,0,0
4/1/1990 3:00,0,0,0
4/1/1990 4:00,0,0,0
4/1/1990 5:00,0,0,0
4/1/1990 6:00,0,0,0
4/1/1990 7:00,106.88,138.24,125.71
4/1/1990 8:00,301.58,364.99,346.42
4/1/1990 9:00,526.32,582.4,561.39
4/1/1990 10:00,685.66,748.33,726.64
